page,book,year,status,ours_chars,calfa_chars,length_ratio,cer,page_script
EAP180-1-3-87_039L.jpg,EAP180-1-3-87,1861,ok,935,820,0.8770,0.1433,armenian
EAP180-1-3-87_039R.jpg,EAP180-1-3-87,1861,ok,985,527,0.5350,0.5553,armenian
EAP180-1-3-87_040L.jpg,EAP180-1-3-87,1861,ok,1589,1481,0.9320,0.1340,armenian
EAP180-1-3-87_040R.jpg,EAP180-1-3-87,1861,ok,1603,1099,0.6856,0.3930,armenian
EAP180-1-3-87_041L.jpg,EAP180-1-3-87,1861,ok,1603,539,0.3362,0.6887,armenian
EAP180-1-3-87_041R.jpg,EAP180-1-3-87,1861,ok,1571,1022,0.6505,0.4914,armenian
EAP180-1-3-87_042L.jpg,EAP180-1-3-87,1861,ok,1433,1087,0.7585,0.3273,armenian
EAP180-1-3-87_042R.jpg,EAP180-1-3-87,1861,ok,191,192,1.0052,0.0366,armenian
EAP180-1-3-87_043L.jpg,EAP180-1-3-87,1861,ok,142,134,0.9437,0.6056,armenian
EAP180-1-3-96_002R.jpg,EAP180-1-3-96,1863,ok,124,82,0.6613,0.4274,armenian
EAP180-1-3-96_003L.jpg,EAP180-1-3-96,1863,ok,130,129,0.9923,0.0385,armenian
EAP180-1-3-96_003R.jpg,EAP180-1-3-96,1863,ok,956,327,0.3421,0.7270,armenian
EAP180-1-3-96_004L.jpg,EAP180-1-3-96,1863,ok,71,71,1.0000,0.0141,armenian
EAP180-1-3-96_004R.jpg,EAP180-1-3-96,1863,ok,2229,997,0.4473,0.6240,armenian
EAP180-1-3-96_005L.jpg,EAP180-1-3-96,1863,ok,2219,1332,0.6003,0.4790,armenian
EAP180-1-3-96_005R.jpg,EAP180-1-3-96,1863,ok,2099,1221,0.5817,0.5269,armenian
EAP180-1-3-96_006L.jpg,EAP180-1-3-96,1863,ok,2168,1069,0.4931,0.5872,armenian
EAP180-1-3-96_006R.jpg,EAP180-1-3-96,1863,ok,2118,928,0.4381,0.6355,armenian
EAP180-1-3-96_007L.jpg,EAP180-1-3-96,1863,ok,2119,1549,0.7310,0.3270,armenian
EAP180-1-3-96_007R.jpg,EAP180-1-3-96,1863,ok,917,840,0.9160,0.5398,armenian
EAP180-1-3-96_008L.jpg,EAP180-1-3-96,1863,ok,1303,655,0.5027,0.5664,armenian
EAP180-1-3-96_008R.jpg,EAP180-1-3-96,1863,ok,2104,1145,0.5442,0.5433,armenian
EAP180-1-3-96_009L.jpg,EAP180-1-3-96,1863,ok,501,486,0.9701,0.1477,armenian
EAP180-1-3-96_009R.jpg,EAP180-1-3-96,1863,ok,1744,345,0.1978,0.8435,armenian
EAP180-1-3-96_010L.jpg,EAP180-1-3-96,1863,ok,1989,288,0.1448,0.8839,armenian
EAP180-1-3-96_010R.jpg,EAP180-1-3-96,1863,ok,1869,1203,0.6437,0.4890,armenian
EAP180-1-3-96_011L.jpg,EAP180-1-3-96,1863,ok,1903,967,0.5081,0.5491,armenian
EAP180-1-3-96_011R.jpg,EAP180-1-3-96,1863,ok,2072,1622,0.7828,0.3147,armenian
EAP180-1-3-96_012L.jpg,EAP180-1-3-96,1863,ok,1962,1179,0.6009,0.4725,armenian
EAP180-1-3-96_012R.jpg,EAP180-1-3-96,1863,ok,2193,1246,0.5682,0.5144,armenian
EAP180-1-3-96_013L.jpg,EAP180-1-3-96,1863,ok,1946,1156,0.5940,0.5000,armenian
EAP180-1-3-96_013R.jpg,EAP180-1-3-96,1863,ok,2001,1087,0.5432,0.5422,armenian
EAP180-1-3-96_014L.jpg,EAP180-1-3-96,1863,ok,1903,1057,0.5554,0.5696,armenian
EAP180-1-3-96_014R.jpg,EAP180-1-3-96,1863,ok,1875,1061,0.5659,0.5173,armenian
EAP180-1-3-96_015L.jpg,EAP180-1-3-96,1863,ok,1937,1171,0.6045,0.4946,armenian
EAP180-1-3-96_015R.jpg,EAP180-1-3-96,1863,ok,2069,976,0.4717,0.6206,armenian
EAP180-1-3-96_016L.jpg,EAP180-1-3-96,1863,ok,1784,958,0.5370,0.5398,armenian
EAP180-1-3-96_016R.jpg,EAP180-1-3-96,1863,ok,2033,1454,0.7152,0.6001,armenian
EAP180-1-3-96_017L.jpg,EAP180-1-3-96,1863,ok,1948,1066,0.5472,0.5590,armenian
EAP180-1-3-96_017R.jpg,EAP180-1-3-96,1863,ok,1959,1276,0.6514,0.4288,armenian
EAP180-1-3-96_018L.jpg,EAP180-1-3-96,1863,ok,2035,1252,0.6152,0.4614,armenian
EAP180-1-3-96_018R.jpg,EAP180-1-3-96,1863,ok,1836,1226,0.6678,0.4439,armenian
EAP180-1-3-96_019L.jpg,EAP180-1-3-96,1863,ok,1927,1287,0.6679,0.4318,armenian
EAP180-1-3-96_019R.jpg,EAP180-1-3-96,1863,ok,2002,1020,0.5095,0.5305,armenian
EAP180-1-3-96_020L.jpg,EAP180-1-3-96,1863,ok,1944,1391,0.7155,0.4228,armenian
EAP180-1-3-96_020R.jpg,EAP180-1-3-96,1863,ok,1908,1098,0.5755,0.4864,armenian
EAP180-1-3-96_021L.jpg,EAP180-1-3-96,1863,ok,1847,870,0.4710,0.6031,armenian
EAP180-1-3-96_021R.jpg,EAP180-1-3-96,1863,ok,1833,786,0.4288,0.6208,armenian
EAP180-1-3-96_022L.jpg,EAP180-1-3-96,1863,ok,1988,774,0.3893,0.6715,armenian
