headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Խեխրիմ				dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեկլեկ		ad.	halting, hobbling, stumbling about.	dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեղաթիւրումն		s.	obliquity, crookedness, contortion; grimace, wry face, mouth; perversity, depravity.	dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեղափեռութի	Խեղափեռութիւն	s.	waywardness.	dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեղափեռութի	Խեղափեռութիւն	s.	waywardness.	dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեղկատանք			S. Խեղկատակութիւն.	dict-315.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեղպիմ		vn.	to be attached or bound to.	dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեմ		s.	thin scantling for making sieves, bandelets, &c.	dict-315.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խենիթ			&c. S. Յիմար, &c.	dict-315.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեցակերտութի	Խեցակերտութիւն			dict-315.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խեցխեղէք		s.	accent, point.	dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խժդժագոյն		a.	very rude, very barbarous	dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խժիժ, խժուժ				dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խժիժ, խժուժ				dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խիզար				dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խիժահոյզ		s.	gum-resin.	dict-316.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խիխաղատ		s.	filth, filthiness, fetid matter.	dict-317.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խիկար		a.	learned, wise; pedantic.	dict-317.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խիպիլիկ		s.	night-mare, incubus; phantom; bug-bear.	dict-317.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խլաստեռ		s.	outer garment or veil of oriental women.	dict-317.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խլէզ				dict-317.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf156.jpg	body
Խխումն				dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խծիպ		s.	quilting; quilting;	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խծպէմ		vn.	to quilt, to stitch, to pink;	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խղիւթեմ		vna.	to apply, to devote one's self to;; to explore.	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խղուլրտիւն		s.	noise, clatter, hubbub, uproar, rumour, turmoil, din, confusion.	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խճողէմ		va.	to fill, to heap up;; to stuff, to cram;	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խմբանգրի		s.	group.	dict-318.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խնամախօս		s.	matrimonial mediator, go-between, match-maker	dict-319.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խնդագին		a.	joyful, cheerful, gay, merry; gaily, cheerfully, merrily; ad. gaily, cheerfully, merrily	dict-319.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խնդակութ		s.	bot.	dict-319.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf157.jpg	body
Խնկոզկուզիկ		s. bot.	marjoram.	dict-320.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf158.jpg	body
Խշարեմ		vn.	to despise.	dict-321.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf158.jpg	body
Խշբիմ		vn.	to have a thirsty longing for acid things.	dict-321.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf158.jpg	body
Խշտուկ		s.	gusset.	dict-321.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf158.jpg	body
Խոլթ		s.	zool. kingfisher, halcyon	dict-321.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf158.jpg	body
Խոհագործ				dict-322.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf159.jpg	body
Խոհամահամ		vn.	to precipitate one's self, to fling, to cast or throw one's self headlong.	dict-322.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf159.jpg	body
Խոհընտիր միտք			syllogism; syllogism.	dict-322.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf159.jpg	body
Խարդախիչ, -խող		S.	Նենգիչ.	dict-311.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խոպ				dict-324.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf160.jpg	body
Խոռոց		s.	tibia, shin, shin-bone, shank; articulation.	dict-325.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf160.jpg	body
Խոտորադիտակ		s.	polemoscope.	dict-325.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf160.jpg	body
Խորաբանուի		s.	s. enigma; dark saying, profound import, hidden meaning.; dark saying, profound import, hidden meaning.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորագիտուի		s.	s. prudence, shrewdness, sagacity; craft, cunning.; craft, cunning.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորազգաց		a.	very skilful, deeply versed.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորազննութիւն		s.	inscrutable investigation. [cane; penetrating, acute.; inscrutable investigation.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորախօսութի	Խորախօսութիւն	S.	S. Խորաբանութի.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորամուզ		s.	s. diver; a. S. Խորամուխ.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորանահարութի	Խորանահարութիւն	s.	s. pitching tents; encamping.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորանաշու		a.	a. travelling with tents, camping.	dict-326.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորանարդաձեւ		a.	cubiform.	dict-327.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խորդազգեաց		a.	clad in sack-cloth.	dict-327.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
Խործուխ				dict-327.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf161.jpg	body
խորհ		a.	whose thoughts are bent on justice, just, equitable	dict-282.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf139.jpg	body
Խորհրդազգածուի		s.	initiation.	dict-328.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Խորշակահարուի		s.	sun-stroke.	dict-329.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Խորշաքաշ առնեմ, ժողովեմ		va.	to plait, to arrange gracefully, to fit, to adjust with elegance.	dict-329.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Խորուղակ		s.	whooping-cough.	dict-329.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Խորուփիք		s.	concavity, cavity.	dict-329.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Խորսխեմ		va.	to make the honey-comb; to fill with honey-cakes.	dict-329.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf162.jpg	body
Բանախոյզ, խուզաց		a.	examiner.	dict-124.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf60.jpg	body
